epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.950657904,0.22868365,0.001,0.967741907,4.039206982
1,0.959868431,0.166237816,0.001,0.95161289,0.161457896
2,0.958881557,0.140207738,0.001,0.967741907,0.180442855
3,0.961513162,0.117060132,0.001,0.967741907,0.129551366
4,0.973026335,0.085091151,0.001,0.967741907,0.094976842
5,0.977302611,0.062041979,0.001,0.967741907,0.168503463
6,0.990789473,0.027801743,0.001,0.967741907,0.137512818
7,0.998684227,0.008948077,0.001,0.967741907,0.148772866
8,1,0.002239409,0.001,0.967741907,0.183918998
9,1,0.000710548,0.001,0.967741907,0.177306324
10,1,0.000424804,0.001,0.967741907,0.186974004
11,1,0.00028131,0.001,0.967741907,0.182874799
12,1,0.000236065,0.0001,0.967741907,0.173221454
13,1,0.000237123,0.0001,0.967741907,0.1679793
14,0.948355258,0.235323682,0.001,0.419354826,2.845919132
15,0.959539473,0.156647056,0.001,0.967741907,0.139140025
16,0.960197389,0.13421613,0.001,0.967741907,0.130662441
17,0.962171078,0.111171663,0.001,0.967741907,0.103931122
18,0.975000024,0.074047819,0.001,0.967741907,0.102098778
19,0.983881593,0.047216259,0.001,0.967741907,0.11976108
20,0.993421078,0.020687129,0.001,0.967741907,0.151520863
21,0.998026311,0.011316621,0.001,0.95161289,0.178780466
22,0.999671042,0.002933742,0.001,0.967741907,0.197698221
23,1,0.000829859,0.001,0.967741907,0.1985524
24,1,0.000438407,0.001,0.967741907,0.213569149
25,1,0.000271719,0.001,0.967741907,0.2325674
26,1,0.000196881,0.0001,0.967741907,0.236108497
27,1,0.000188576,0.0001,0.967741907,0.238892391
28,0.948355258,0.237006173,0.001,0.967741907,1.688717246
29,0.958552659,0.164072394,0.001,0.967741907,0.314907819
30,0.959868431,0.146244764,0.001,0.967741907,0.105768204
31,0.965131581,0.108252324,0.001,0.967741907,0.152433768
32,0.974342108,0.083347052,0.001,0.967741907,0.119989365
33,0.983881593,0.048518192,0.001,0.967741907,0.114890181
34,0.990460515,0.028340204,0.001,0.967741907,0.134535193
35,0.995723665,0.015830772,0.001,0.967741907,0.157426715
36,0.999671042,0.00345386,0.001,0.967741907,0.181122094
37,1,0.000911373,0.001,0.967741907,0.184062332
38,1,0.000457372,0.0001,0.967741907,0.185218498
39,1,0.000422498,0.0001,0.967741907,0.18821241
40,0.949342132,0.24121061,0.001,0.967741907,1.826767921
41,0.959539473,0.167844191,0.001,0.95161289,0.18021974
42,0.959210515,0.139088735,0.001,0.967741907,0.098830901
43,0.967105269,0.105261542,0.001,0.967741907,0.07823763
44,0.976315796,0.074643262,0.001,0.967741907,0.128056332
45,0.983223677,0.050691195,0.001,0.967741907,0.137895331
46,0.99473685,0.018614333,0.001,0.967741907,0.173356414
47,0.998026311,0.007684583,0.001,0.967741907,0.143841043
48,0.999671042,0.003070852,0.001,0.967741907,0.180402324
49,1,0.001104807,0.001,0.95161289,0.17438741
50,1,0.000570348,0.001,0.967741907,0.211386114
51,1,0.000296815,0.0001,0.967741907,0.191002399
52,1,0.000306972,0.0001,0.967741907,0.179785281
53,0.956250012,0.219701633,0.001,0.967741907,0.545331895
54,0.958881557,0.159072191,0.001,0.967741907,0.167796746
55,0.959210515,0.137360424,0.001,0.967741907,0.113671772
56,0.964144766,0.103515543,0.001,0.967741907,0.12847349
57,0.979934216,0.06289266,0.001,0.967741907,0.126988605
58,0.982894719,0.047520708,0.001,0.967741907,0.17464076
59,0.991118431,0.024868425,0.001,0.967741907,0.164445624
60,0.998684227,0.007691422,0.001,0.967741907,0.176881209
61,0.999342084,0.002699848,0.001,0.967741907,0.196755752
62,1,0.000881413,0.001,0.967741907,0.211579293
63,1,0.000458956,0.0001,0.967741907,0.210877493
64,1,0.000398118,0.0001,0.967741907,0.212744638
65,0.944736838,0.255329132,0.001,0.032258064,34.38118362
66,0.960197389,0.15964061,0.001,0.967741907,0.104958363
67,0.962499976,0.134743527,0.001,0.967741907,0.107674472
68,0.964144766,0.109456606,0.001,0.967741907,0.082850277
69,0.97401315,0.076442353,0.001,0.967741907,0.094786696
